"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"1",1,1,"Structural",100,"engineer","residential",8.57977752655008,11.7987991282354,4.60517018598809,"Fixed Quote","director",0.464813793103448,2004,"1.5y-3y","2.5k-8k","C2475",NA,"2002.005",0,"profit",0.142534000465113,0.25,0.0828178411196478,0.522363502071828,0.5,-2.49111176834226
"2",2,4,"Civil",44.83,"developer/real estate","waste_wat_manage",11.3430680623775,11.0911585515315,3.79616311933361,"Fixed Quote","director",-0.264840234341199,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.027",1,"loss",0.242686841291686,0.341,0.108877020369176,0.623756967332852,0.583952052826257,-2.21753628720391
"3",3,3,"Civil",25.66,"biz_bldgserv_internal","edu_exten_community",10.2724976439968,9.68673913370137,4.1890484976914,"Fixed Quote","director",-0.590917443544455,2003,">3y","8k-60k","C2831",NA,"2002.041",1,"loss",0.19205986901957,0.228,0.230732068812732,0.576959784438628,0.477493455452533,-1.46649811690581
"4",4,2,"Structural",100,"architect","residential",6.64883916606213,8.16308637558322,4.60517018598809,"Fixed Quote","director",-0.52,2003,"2.5m-9m","600-2.5k","C2180",NA,"2002.047",1,"loss",0.383272204598232,0.312,0.337930349183629,0.726388748105294,0.558569601750758,-1.084915472238
"5",5,2,"Structural",97.67,"architect","residential",7.39570292331812,7.40806985472246,4.58159444945939,"Fixed Quote","director",0.226125913699599,2004,"2.5m-9m","600-2.5k","C2837",NA,"2002.053",0,"profit",0.409161897753934,0.621,0.482178956750302,0.742389341513229,0.788035532193822,-0.729439954273797
"6",6,3,"Civil",11.97,"developer/real estate","waste_wat_manage",9.79534422337091,11.3023525708299,4.11757268834131,"Fixed Quote","director",0.422082247536793,2004,"2.5m-9m","8k-60k","C2396",NA,"2002.077",0,"profit",0.388853177707492,0.613,0.528679873814516,0.729897513420845,0.782943165242535,-0.637372183772827
"7",7,2,"Structural",31.03,"architect","residential",9.36978394934013,8.36603536187465,4.1041298629569,"Hourly Rate","director",-0.111216617210682,2004,"9m-1.5y","8k-60k","C2351",NA,"2002.094",1,"loss",0.198856662593315,0.177,0.208348517861162,0.583687037733454,0.420713679359253,-1.5685430348363
"8",8,1,"Structural",100,"architect","residential",8.63390991629761,8.36603536187465,4.60517018598809,"Fixed Quote","director",-0.127577821011673,2004,"9m-1.5y","2.5k-8k","C2351",NA,"2002.095",1,"loss",0.170548887346911,0.438,0.106897754659565,0.554561390711511,0.661815684310972,-2.2358824652918
"9",9,3,"Structural",59.51,"person","residential",7.90041094918734,7.64850143834136,4.08614436565676,"Fixed Quote","director",-0.579490777866881,2003,"1.5y-3y","2.5k-8k",NA,NA,"2002.136",1,"loss",0.549965247470215,0.518,0.483732776085517,0.819304013578468,0.719722168617863,-0.726222640263198
"10",10,3,"Civil",9.1,"developer/real estate","Subdivision",9.80711182721701,9.76715280561177,4.21405167158685,"Hourly Rate","director",-0.178777864966125,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.137",1,"loss",0.487738616859456,0.707,0.528432081038269,0.787158846762862,0.840832920383116,-0.637840994629895
"11",11,2,"Structural",48.39,"architect","residential",7.93208515128258,10.7663823599921,3.91202300542815,"Hourly Rate","director",-0.85254353881885,2003,"1.5y-3y","2.5k-8k","C2053",NA,"2002.138",1,"loss",0.268895492003842,0.208,0.154383278760654,0.645447872741916,0.456070170039655,-1.86831694543843
"12",12,5,"Civil",21.54,"developer/real estate","edu_exten_community",8.48505136404413,10.0198580354539,4.12971170605939,"Fixed Quote","seniortech",-0.810276974727222,2003,">3y","2.5k-8k","C2845",NA,"2002.142",1,"loss",0.608695452455776,0.425,0.658467756928196,0.847487599685499,0.651920240520265,-0.417839723419472
"13",13,5,"Civil",28.53,"developer/real estate","waste_wat_manage",11.815478374067,11.563568863221,4.2284382967028,"Fixed Quote","seniorpro",-0.334985016821543,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.163",1,"loss",0.32945337876419,0.401,0.382872012316654,0.690660558186746,0.633245607959503,-0.960054517146214
"14",14,6,"Water",47.17,"builder","waste_wat_manage",11.7130581961474,11.4611486853015,4.13676527810605,"Fixed Quote","director",-0.09008360234366,2003,">3y","60k-1.8m",NA,NA,"2002.180",1,"loss",0.157332281878859,0.353,0.218185359194699,0.539849388585417,0.594138031100518,-1.5224103059338
"15",15,1,"Structural",100,"architect","residential",5.44428123553601,9.5446631573241,4.60517018598809,"Hourly Rate","director",0.212126984126984,2005,"1d-3wk","100-600","C2875",NA,"2002.186",0,"profit",0.123780026854701,0.135,0.116739770681817,0.498368048402665,0.367423461417477,-2.14780800355812
"16",16,3,"Civil",13.44,"developer/real estate","Subdivision",10.1938520988637,9.76715280561177,4.10857614446882,"Hourly Rate","director",-0.428599235001131,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.203",1,"loss",0.727789039417357,0.777,0.509553414941167,0.899501386122907,0.881476034841561,-0.674220593853399
"17",17,2,"Structural",100,"engineer","art_facade_awn_memb",7.46981089547184,7.24422751560335,4.60517018598809,"Fixed Quote","director",0.4,2004,"3wk-2.5m","600-2.5k",NA,NA,"2002.211",0,"profit",0.0567647457683712,0.238,0.123640682347303,0.384319923293218,0.487852436706019,-2.09037564291023
"18",18,1,"Structural",100,"architect","heritage_expert",7.60435061108957,9.62046129162054,4.60517018598809,"Fixed Quote","director",0.114285714285714,2003,"2.5m-9m","600-2.5k","C2406",NA,"2002.219",0,"profit",0.112075460581684,0.117,0.246974275218191,0.482136684922562,0.342052627529741,-1.39847109669224
"19",19,3,"Civil",48.81,"developer/real estate","refurb/renovation",9.23123417724915,8.97932466640317,4.04147107261503,"Hourly Rate","director",-0.878549665789598,2003,">3y","8k-60k",NA,NA,"2003.006",1,"loss",0.078953427579234,0.434,0.454935537375706,0.428999707636023,0.658786763680024,-0.787599546165543
"20",20,3,"Structural",3.65,"architect","edu_exten_community",10.1603846048932,9.31154225248515,4.07940011483628,"Hourly Rate","director",-0.0479348237968928,2003,"1.5y-3y","8k-60k","C2224",NA,"2003.012",1,"loss",0.274977522937046,0.37,0.480013753617274,0.650278005684888,0.608276253029822,-0.733940522121379
"21",21,1,"Structural",100,"architect","edu_exten_community",6.11168741131865,9.64035239100384,4.60517018598809,"Hourly Rate","director",0.2,2004,"1d-3wk","100-600","C2614",NA,"2003.033",0,"profit",0.0964275939622899,0.008,0.118007887196098,0.458564513647145,0.0894427190999916,-2.13700381610531
"22",22,3,"Structural",57.17,"developer/real estate","edu_exten_community",9.82102022986962,9.09259121074605,4.08530381756995,"Fixed Quote","seniorpro",-0.573179599818606,2003,"1.5y-3y","8k-60k","C2798",NA,"2003.041",1,"loss",0.168834716337915,0.287,0.347954691520482,0.552697182705741,0.535723809439155,-1.05568300446422
"23",23,2,"Structural",93.75,"architect","residential",5.08022324814829,7.87283617502572,4.54063166485052,"Fixed Quote","director",-0.837767683322518,2003,"2.5m-9m","100-600","C2684",NA,"2003.048",1,"loss",0.692309551050422,0.685,0.691377834342854,0.884640411033101,0.827647267862342,-0.369068811101872
"24",24,2,"Structural",37.89,"architect","residential",7.58982251052666,8.93047169529196,3.59895474658595,"Fixed Quote","seniorpro",-0.599635440401016,2003,"2.5m-9m","600-2.5k","C2056",NA,"2003.057",1,"loss",0.649672666102354,0.595,0.529621342512413,0.866093670964711,0.771362431027076,-0.635592975865417
"25",25,2,"Structural",100,"architect","residential",5.77337042870823,9.64035239100384,4.60517018598809,"Fixed Quote","director",-0.285714285714286,2003,"3wk-2.5m","100-600","C2614",NA,"2003.071",1,"loss",0.515584822857686,0.653,0.603909558573007,0.801862754553819,0.808084154033477,-0.504330829721003
"26",26,2,"Structural",54.55,"person","edu_exten_community",7.50490221528311,7.27931883541462,3.99911771227908,"Fixed Quote","director",0.32997019032332,2004,"2.5m-9m","600-2.5k",NA,NA,"2003.075",0,"profit",0.672347173821591,0.485,0.571545398013668,0.876054640739022,0.696419413859206,-0.559411362307847
"27",27,2,"Civil",48.42,"person","residential",8.4201889904628,8.16827947961682,4.00733318523247,"Fixed Quote","director",-0.0255756453996713,2003,"1.5y-3y","2.5k-8k",NA,NA,"2003.079",1,"loss",0.650720093811633,0.675,0.755496655475447,0.866558871091912,0.821583836257749,-0.280379924181263
"28",28,5,"Structural",76.96,"architect","industrial",9.23398071796541,8.93047169529196,4.25872841832939,"Fixed Quote","director",-0.715152827409978,2003,"1.5y-3y","8k-60k","C2056",NA,"2003.090",1,"loss",0.21980012290345,0.284,0.264772577399731,0.603498197042672,0.532916503778969,-1.32888401995065
"29",29,3,"Civil",44.48,"developer/real estate","edu_exten_community",10.5716781341767,13.9559889914245,3.58351893845611,"Fixed Quote","director",-0.571996249245643,2003,"2.5m-9m","8k-60k","C2392",NA,"2003.093",1,"loss",0.186522880612998,0.308,0.229403698867202,0.571361146956192,0.554977477020464,-1.47227195032269
"30",30,2,"Structural",72.9,"architect","residential",7.55385322120852,10.6552538157508,4.28908863901461,"Fixed Quote","director",-0.789507894270002,2003,"9m-1.5y","600-2.5k","C2236",NA,"2003.100",1,"loss",0.486370305276572,0.606,0.443156581119716,0.786422053651226,0.778460018241143,-0.813832115135766
"31",31,5,"Civil",48.99,"developer/real estate","civBldg_subdiv_sewer",11.7967308507998,11.3023525708299,3.64675452781327,"Fixed Quote","director",-0.398864433073339,2003,">3y","60k-1.8m","C2396",NA,"2003.112",1,"loss",0.304113039657031,0.361,0.190463019416853,0.672478412380027,0.600832755431992,-1.65829722705589
"32",32,2,"Civil",24.29,"developer/real estate","Subdivision",8.51362447453018,10.0198580354539,4.05785345363969,"Fixed Quote","director",-0.66370291252019,2003,"1.5y-3y","2.5k-8k","C2845",NA,"2003.120",1,"loss",0.837495498458047,0.701,0.653619270581292,0.942600126686923,0.837257427557379,-0.425230252117475
"33",33,3,"Structural",37.89,"architect","residential",7.64517260560982,7.87283617502572,4.13708471589826,"Hourly Rate","director",-0.701629561624971,2003,"2.5m-9m","600-2.5k","C2684",NA,"2003.124",1,"loss",0.531116043086214,0.566,0.573625507120906,0.809834871122583,0.752329714952161,-0.555778522204064
"34",34,2,"Structural",56.33,"architect","residential",8.4653748082405,8.61420737312978,4.03122725290662,"Fixed Quote","director",-0.530441518202943,2004,">3y","2.5k-8k","C2534",NA,"2003.127",1,"loss",0.374960348240053,0.173,0.180692912731271,0.721099367487259,0.415932686861708,-1.71095630334144
"35",35,2,"Structural",83.67,"biz_bldgserv_internal","edu_exten_community",8.39179964846063,9.03190126869645,4.42688049030751,"Fixed Quote","director",0.462097611630322,2004,"2.5m-9m","2.5k-8k","C2516",NA,"2003.139",0,"profit",0.150291740522944,0.111,0.109251790580795,0.531673528806238,0.333166624979154,-2.21410005538518
"36",36,4,"Civil",28.19,"developer/real estate","flood_h2o_harvest",10.5121732022005,10.2602636913545,4.33558994890029,"Hourly Rate","director",-0.463594518490708,2003,"1.5y-3y","8k-60k",NA,NA,"2003.144",1,"loss",0.239304396282292,0.313,0.158989431352572,0.620845530630243,0.559464029227975,-1.83891754845178
