"","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol"
"1",1,"Structural",100,"engineer","residential",8.57977752655008,11.7987991282354,4.60517018598809,"Fixed Quote","director",0.464813793103448,2004,"1.5y-3y","2.5k-8k","C2475",NA,"2002.005","0"
"2",4,"Civil",44.83,"developer/real estate","waste_wat_manage",11.3430680623775,11.0911585515315,3.79616311933361,"Fixed Quote","director",-0.264840234341199,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.027","1"
"3",3,"Civil",25.66,"biz_bldgserv_internal","edu_exten_community",10.2724976439968,9.68673913370137,4.1890484976914,"Fixed Quote","director",-0.590917443544455,2003,">3y","8k-60k","C2831",NA,"2002.041","1"
"4",2,"Structural",100,"architect","residential",6.64883916606213,8.16308637558322,4.60517018598809,"Fixed Quote","director",-0.52,2003,"2.5m-9m","600-2.5k","C2180",NA,"2002.047","1"
"5",2,"Structural",97.67,"architect","residential",7.39570292331812,7.40806985472246,4.58159444945939,"Fixed Quote","director",0.226125913699599,2004,"2.5m-9m","600-2.5k","C2837",NA,"2002.053","0"
"6",3,"Civil",11.97,"developer/real estate","waste_wat_manage",9.79534422337091,11.3023525708299,4.11757268834131,"Fixed Quote","director",0.422082247536793,2004,"2.5m-9m","8k-60k","C2396",NA,"2002.077","0"
"7",2,"Structural",31.03,"architect","residential",9.36978394934013,8.36603536187465,4.1041298629569,"Hourly Rate","director",-0.111216617210682,2004,"9m-1.5y","8k-60k","C2351",NA,"2002.094","1"
"8",1,"Structural",100,"architect","residential",8.63390991629761,8.36603536187465,4.60517018598809,"Fixed Quote","director",-0.127577821011673,2004,"9m-1.5y","2.5k-8k","C2351",NA,"2002.095","1"
"9",3,"Structural",59.51,"person","residential",7.90041094918734,7.64850143834136,4.08614436565676,"Fixed Quote","director",-0.579490777866881,2003,"1.5y-3y","2.5k-8k",NA,NA,"2002.136","1"
"10",3,"Civil",9.1,"developer/real estate","Subdivision",9.80711182721701,9.76715280561177,4.21405167158685,"Hourly Rate","director",-0.178777864966125,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.137","1"
"11",2,"Structural",48.39,"architect","residential",7.93208515128258,10.7663823599921,3.91202300542815,"Hourly Rate","director",-0.85254353881885,2003,"1.5y-3y","2.5k-8k","C2053",NA,"2002.138","1"
"12",5,"Civil",21.54,"developer/real estate","edu_exten_community",8.48505136404413,10.0198580354539,4.12971170605939,"Fixed Quote","seniortech",-0.810276974727222,2003,">3y","2.5k-8k","C2845",NA,"2002.142","1"
"13",5,"Civil",28.53,"developer/real estate","waste_wat_manage",11.815478374067,11.563568863221,4.2284382967028,"Fixed Quote","seniorpro",-0.334985016821543,2003,"1.5y-3y","60k-1.8m",NA,NA,"2002.163","1"
"14",6,"Water",47.17,"builder","waste_wat_manage",11.7130581961474,11.4611486853015,4.13676527810605,"Fixed Quote","director",-0.09008360234366,2003,">3y","60k-1.8m",NA,NA,"2002.180","1"
"15",1,"Structural",100,"architect","residential",5.44428123553601,9.5446631573241,4.60517018598809,"Hourly Rate","director",0.212126984126984,2005,"1d-3wk","100-600","C2875",NA,"2002.186","0"
"16",3,"Civil",13.44,"developer/real estate","Subdivision",10.1938520988637,9.76715280561177,4.10857614446882,"Hourly Rate","director",-0.428599235001131,2003,"1.5y-3y","8k-60k","C2740",NA,"2002.203","1"
"17",2,"Structural",100,"engineer","art_facade_awn_memb",7.46981089547184,7.24422751560335,4.60517018598809,"Fixed Quote","director",0.4,2004,"3wk-2.5m","600-2.5k",NA,NA,"2002.211","0"
"18",1,"Structural",100,"architect","heritage_expert",7.60435061108957,9.62046129162054,4.60517018598809,"Fixed Quote","director",0.114285714285714,2003,"2.5m-9m","600-2.5k","C2406",NA,"2002.219","0"
"19",3,"Civil",48.81,"developer/real estate","refurb/renovation",9.23123417724915,8.97932466640317,4.04147107261503,"Hourly Rate","director",-0.878549665789598,2003,">3y","8k-60k",NA,NA,"2003.006","1"
"20",3,"Structural",3.65,"architect","edu_exten_community",10.1603846048932,9.31154225248515,4.07940011483628,"Hourly Rate","director",-0.0479348237968928,2003,"1.5y-3y","8k-60k","C2224",NA,"2003.012","1"
"21",1,"Structural",100,"architect","edu_exten_community",6.11168741131865,9.64035239100384,4.60517018598809,"Hourly Rate","director",0.2,2004,"1d-3wk","100-600","C2614",NA,"2003.033","0"
"22",3,"Structural",57.17,"developer/real estate","edu_exten_community",9.82102022986962,9.09259121074605,4.08530381756995,"Fixed Quote","seniorpro",-0.573179599818606,2003,"1.5y-3y","8k-60k","C2798",NA,"2003.041","1"
"23",2,"Structural",93.75,"architect","residential",5.08022324814829,7.87283617502572,4.54063166485052,"Fixed Quote","director",-0.837767683322518,2003,"2.5m-9m","100-600","C2684",NA,"2003.048","1"
"24",2,"Structural",37.89,"architect","residential",7.58982251052666,8.93047169529196,3.59895474658595,"Fixed Quote","seniorpro",-0.599635440401016,2003,"2.5m-9m","600-2.5k","C2056",NA,"2003.057","1"
"25",2,"Structural",100,"architect","residential",5.77337042870823,9.64035239100384,4.60517018598809,"Fixed Quote","director",-0.285714285714286,2003,"3wk-2.5m","100-600","C2614",NA,"2003.071","1"
"26",2,"Structural",54.55,"person","edu_exten_community",7.50490221528311,7.27931883541462,3.99911771227908,"Fixed Quote","director",0.32997019032332,2004,"2.5m-9m","600-2.5k",NA,NA,"2003.075","0"
"27",2,"Civil",48.42,"person","residential",8.4201889904628,8.16827947961682,4.00733318523247,"Fixed Quote","director",-0.0255756453996713,2003,"1.5y-3y","2.5k-8k",NA,NA,"2003.079","1"
"28",5,"Structural",76.96,"architect","industrial",9.23398071796541,8.93047169529196,4.25872841832939,"Fixed Quote","director",-0.715152827409978,2003,"1.5y-3y","8k-60k","C2056",NA,"2003.090","1"
"29",3,"Civil",44.48,"developer/real estate","edu_exten_community",10.5716781341767,13.9559889914245,3.58351893845611,"Fixed Quote","director",-0.571996249245643,2003,"2.5m-9m","8k-60k","C2392",NA,"2003.093","1"
"30",2,"Structural",72.9,"architect","residential",7.55385322120852,10.6552538157508,4.28908863901461,"Fixed Quote","director",-0.789507894270002,2003,"9m-1.5y","600-2.5k","C2236",NA,"2003.100","1"
