"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1",1,"Structural",0,"engineer","C2475",NA,9.5133699099061,8.57977752655008,11.7987991282354,NA,NA,NA,NA,0.464813793103448,"2002.005",2004
"2",4,"Civil",44.83,"developer/real estate",NA,NA,9.61539774357182,11.3430680623775,11.0911585515315,NA,NA,NA,NA,-0.264840234341199,"2002.027",2003
"3",3,"Civil",25.66,"building services","C2831",NA,10.5132108845925,10.2724976439968,9.68673913370137,NA,NA,NA,NA,-0.590917443544455,"2002.041",2003
"4",2,"Structural",100,"architect","C2180",NA,4.71769398031653,6.64883916606213,8.16308637558322,4.60517018598809,NA,NA,"director",-0.52,"2002.047",2003
"5",2,"Structural",97.67,"architect","C2837","architectural house",4.37951913988789,7.39570292331812,7.40806985472246,4.58159444945939,NA,NA,"director",0.226125913699599,"2002.053",2004
"6",3,"Civil",11.97,"developer/real estate","C2396",NA,5.4401218254148,9.79534422337091,11.3023525708299,NA,NA,NA,NA,0.422082247536793,"2002.077",2004
"7",2,"Structural",31.03,"architect","C2351","architectural house",6.75331341669382,9.36978394934013,8.36603536187465,NA,NA,NA,NA,-0.111216617210682,"2002.094",2004
"8",1,"Structural",100,"architect","C2351","architectural house",8.10283901904389,8.63390991629761,8.36603536187465,4.60517018598809,NA,NA,"director",-0.127577821011673,"2002.095",2004
"9",3,"Structural",59.51,"person",NA,NA,8.3106941071041,7.90041094918734,7.64850143834136,4.08614436565676,NA,NA,"director",-0.579490777866881,"2002.136",2003
"10",3,"Civil",9.1,"developer/real estate","C2740","Subdivision",9.8853573964768,9.80711182721701,9.76715280561177,NA,NA,NA,NA,-0.178777864966125,"2002.137",2003
"11",2,"Structural",48.39,"architect","C2053","multi-dwelling",9.95647752084935,7.93208515128258,10.7663823599921,NA,NA,NA,NA,-0.85254353881885,"2002.138",2003
"12",5,"Civil",21.54,"developer/real estate","C2845",NA,11.9791303926648,8.48505136404413,10.0198580354539,NA,NA,NA,NA,-0.810276974727222,"2002.142",2003
"13",5,"Civil",28.53,"developer/real estate",NA,NA,9.11779314613618,11.815478374067,11.563568863221,NA,NA,NA,NA,-0.334985016821543,"2002.163",2003
"14",6,"Water",47.17,"builder",NA,"water management",12.3002930284697,11.7130581961474,11.4611486853015,NA,NA,NA,NA,-0.09008360234366,"2002.180",2003
"15",1,"Structural",100,"architect","C2875","architectural house",0,5.44428123553601,9.5446631573241,4.60517018598809,NA,NA,"director",0.212126984126984,"2002.186",2005
"16",3,"Civil",13.44,"developer/real estate","C2740","Subdivision",9.93288388379269,10.1938520988637,9.76715280561177,NA,NA,NA,NA,-0.428599235001131,"2002.203",2003
"17",2,"Structural",100,"engineer",NA,"art/sculpture",3.97905720789639,7.46981089547184,7.24422751560335,4.60517018598809,NA,NA,"director",0.4,"2002.211",2004
"18",1,"Structural",100,"architect","C2406",NA,4.61043629205845,7.60435061108957,9.62046129162054,4.60517018598809,NA,NA,"director",0.114285714285714,"2002.219",2003
"19",3,"Civil",48.81,"developer/real estate",NA,NA,12.3703941639438,9.23123417724915,8.97932466640317,NA,NA,NA,NA,-0.878549665789598,"2003.006",2003
"20",3,"Structural",3.65,"architect","C2224","aged care",9.90917762687677,10.1603846048932,9.31154225248515,NA,NA,NA,NA,-0.0479348237968928,"2003.012",2003
"21",1,"Structural",100,"architect","C2614",NA,0,6.11168741131865,9.64035239100384,4.60517018598809,NA,NA,"director",0.2,"2003.033",2004
"22",3,"Structural",57.17,"developer/real estate","C2798","aged care",9.83736946891745,9.82102022986962,9.09259121074605,NA,NA,NA,NA,-0.573179599818606,"2003.041",2003
"23",2,"Structural",93.75,"architect","C2684","architectural house",5.8087857335637,5.08022324814829,7.87283617502572,4.54063166485052,NA,NA,"director",-0.837767683322518,"2003.048",2003
"24",2,"Structural",37.89,"architect","C2056","architectural house",5.51784835276224,7.58982251052666,8.93047169529196,NA,NA,NA,NA,-0.599635440401016,"2003.057",2003
"25",2,"Structural",100,"architect","C2614","architectural house",3.97905720789639,5.77337042870823,9.64035239100384,4.60517018598809,NA,NA,"director",-0.285714285714286,"2003.071",2003
"26",2,"Structural",54.55,"person",NA,NA,5.4401218254148,7.50490221528311,7.27931883541462,3.99911771227908,NA,NA,"director",0.32997019032332,"2003.075",2004
"27",2,"Civil",48.42,"person",NA,NA,8.75903827977578,8.4201889904628,8.16827947961682,NA,NA,NA,NA,-0.0255756453996713,"2003.079",2003
"28",5,"Structural",76.96,"architect","C2056","industrial",10.0728020335225,9.23398071796541,8.93047169529196,4.25872841832939,NA,NA,"director",-0.715152827409978,"2003.090",2003
"29",3,"Civil",44.48,"developer/real estate","C2392",NA,5.94392195276313,10.5716781341767,13.9559889914245,NA,NA,NA,NA,-0.571996249245643,"2003.093",2003
"30",2,"Structural",72.9,"architect","C2236","architectural house",7.7694620116725,7.55385322120852,10.6552538157508,4.28908863901461,NA,NA,"director",-0.789507894270002,"2003.100",2003
"31",5,"Civil",48.99,"developer/real estate","C2396",NA,12.6159870973265,11.7967308507998,11.3023525708299,NA,NA,NA,NA,-0.398864433073339,"2003.112",2003
"32",2,"Civil",24.29,"developer/real estate","C2845","Subdivision",9.08156312238126,8.51362447453018,10.0198580354539,NA,NA,NA,NA,-0.66370291252019,"2003.120",2003
"33",3,"Structural",37.89,"architect","C2684","architectural house",6.13579243966196,7.64517260560982,7.87283617502572,NA,NA,NA,NA,-0.701629561624971,"2003.124",2003
"34",2,"Structural",56.33,"architect","C2534",NA,12.4181316430326,8.4653748082405,8.61420737312978,4.03122725290662,NA,NA,"director",-0.530441518202943,"2003.127",2004
"35",2,"Structural",83.67,"internal","C2516",NA,6.31635959765638,8.39179964846063,9.03190126869645,4.42688049030751,NA,NA,"director",0.462097611630322,"2003.139",2004
"36",4,"Civil",28.19,"developer/real estate",NA,"water harvesting",10.2977152691554,10.5121732022005,10.2602636913545,NA,NA,NA,NA,-0.463594518490708,"2003.144",2003
"37",2,"Structural",87.18,"architect","C2314","hotel/resort",5.10446872200146,9.46168408689941,10.3335464065589,4.46797494681025,NA,NA,"director",0.604840664711632,"2003.158",2004
"38",2,"Structural",100,"architect","C2614",NA,10.8971122726476,7.45542215801974,9.64035239100384,4.60517018598809,NA,NA,"director",0.00454959053685168,"2003.167",2004
"39",1,"Structural",100,"architect","C2406","architectural house",3.27106631018859,5.30075719510232,9.62046129162054,4.60517018598809,NA,NA,"director",-0.2,"2003.173",2004
"40",2,"Structural",95.83,"architect","C2875","architectural house",6.59620228410148,5.81259114186151,9.5446631573241,4.56257578835567,NA,NA,"director",-0.777872703972661,"2003.178",2003
"41",2,"Civil",66.04,"builder","C2683","civil works to bldg",7.18551615065319,8.20618697551294,11.3839547423763,4.19026061905193,NA,NA,"director",0.343902784332232,"2003.183",2003
"42",2,"Structural",62.71,"architect","C2942",NA,7.99478827214056,6.36115709361035,7.91022370709734,4.13852092455493,NA,NA,"director",-0.653846153846154,"2003.194",2003
"43",2,"Structural",62.22,"person","C2133","architectural house",4.61043629205845,5.48568835625645,5.09834087451536,4.13067649146949,NA,NA,"director",-0.785530454675436,"2003.196",2003
"44",5,"Structural",48.97,"architect","C2053","community",8.04145151717812,8.58931792512024,10.7663823599921,NA,NA,NA,NA,-0.850659425911559,"2003.199",2003
"45",2,"Civil",7.98,"town planner","C2186",NA,10.2089374440029,8.72671698576578,9.66667855285783,NA,NA,NA,NA,-0.155134420449537,"2003.208",2003
"46",4,"Structural",9.28,"architect","C2053","community",12.5591859858942,11.0708554489522,10.7663823599921,NA,NA,NA,NA,-0.431230865616702,"2003.210",2003
"47",2,"Structural",63.24,"architect","C2680","architectural house",8.93784332063404,8.81598628816107,10.949842397964,4.14693701234127,NA,NA,"director",-0.332696593441579,"2003.211",2003
"48",3,"Structural",51.77,"developer/real estate","C2798",NA,6.48715411671635,7.96237912571752,9.09259121074605,NA,NA,NA,NA,-0.857399920379774,"2003.212",2003
"49",2,"Structural",78.07,"manufacturer/supplier",NA,NA,7.80792532177971,9.40211339185048,9.1502038810045,4.3576058601322,NA,NA,"director",-0.0514156194121944,"2003.218",2003
"50",2,"Structural",87.18,"architect","C2314","community",6.19715443474113,5.95569198550219,10.3335464065589,4.46797494681025,NA,NA,"director",-0.667128987517337,"2003.219",2003
"51",2,"Structural",62.16,"architect","C2666","architectural house",6.07317794375132,6.08085512845619,9.35044747216883,4.12971170605939,NA,NA,"director",-0.942799461641992,"2003.220",2003
"52",5,"Civil",59.04,"resources","C2562",NA,10.3415358620076,10.2993480455526,11.2405027737074,3.77276093809464,NA,NA,"seniorpro",0.19051619936651,"2003.224",2003
"53",4,"Civil",73.17,"developer/real estate","C2845",NA,8.3106941071041,9.66444841055398,10.0198580354539,4.20558774103808,NA,NA,"director",0.108366458108854,"2003.227",2003
"54",2,"Structural",96.04,"architect","C2236","extension",8.41083258521028,8.92610645107189,10.6552538157508,4.56476477135305,NA,NA,"director",0.15521327014218,"2003.229",2003
